,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
703,704,001016,华夏沪深300指数增强C,2021-11-15,1.9980,1.9980,-0.15,0.86,-2.01,-2.35,-0.15,8.82,41.40,70.62,0.60,99.80,8.0454,0.00%
704,705,007143,国投瑞银沪深300量化A,2021-11-15,1.5512,1.5512,-0.17,0.24,-2.81,-1.55,-0.15,10.90,52,,2.18,55.12,10.0262,0.12%
705,706,007765,前海开源1-3年国开债A,2021-11-15,1.0444,1.0694,0.05,0.07,0.32,0.19,-0.19,4.01,6.66,,3.04,7.05,3.9535,0.05%
706,707,008454,中信保诚中债1-3年国开行A,2021-11-12,1.0132,1.0132,0,0,0.01,0.03,-0.19,0.96,,,0.29,1.32,0.9566,0.06%
707,708,008142,工银瑞信黄金ETF联接A,2021-11-12,0.9440,0.9440,-0.01,2.83,3.66,3.60,-0.20,-5.32,,,-3.97,-5.60,-5.6660,0.06%
708,709,007766,前海开源1-3年国开债C,2021-11-15,1.0191,1.0441,0.05,0.08,0.31,0.19,-0.24,1.53,4,,0.59,4.46,1.4644,0.00%
709,710,008390,国联安沪深300ETF联接A,2021-11-12,1.3163,1.3163,-0.16,0.94,0.27,-0.78,-0.24,3.10,,,-2.66,31.63,3.2149,0.08%
710,711,008455,中信保诚中债1-3年国开行C,2021-11-12,1.0114,1.0114,0,0,0,0,-0.24,0.82,,,0.16,1.14,0.8274,0.00%
711,712,008701,华夏黄金ETF联接A,2021-11-12,0.9213,0.9213,-0.01,2.92,3.69,3.67,-0.26,-3.85,,,-2.75,-7.87,-4.2308,0.06%
712,713,008200,华夏创新100ETF联接C,2021-11-12,1.2814,1.2814,-0.09,1.05,1.85,-1.27,-0.28,-0.57,,,-4.83,28.14,-0.9354,0.00%
713,714,009905,民生加银中证200指数增强C,2021-11-15,1.0435,1.0435,-0.51,0.39,-0.79,-5.45,-0.28,,,,-1.02,4.35,4.89,0.00%
714,715,002610,博时黄金ETF联接A,2021-11-15,1.3224,1.3224,-0.38,1.61,2.46,3.35,-0.29,-4.10,14.26,37.76,-2.69,32.24,-3.7767,0.06%
715,716,008163,南方大盘红利50ETF联接A,2021-11-12,1.1888,1.1888,-0.43,1.11,-5.64,2.01,-0.33,8.88,,,9.40,18.88,8.9643,0.12%
716,717,008391,国联安沪深300ETF联接C,2021-11-12,1.3137,1.3137,-0.15,0.95,0.26,-0.82,-0.33,2.90,,,-2.83,31.37,3.0191,0.00%
717,718,162714,广发深证100指数(LOF)A,2021-11-15,1.7524,1.9716,-0.43,-0.05,0.37,-0.93,-0.35,5.33,50.73,102.78,-1.69,118.29,5.2383,0.12%
718,719,007144,国投瑞银沪深300量化C,2021-11-15,1.5358,1.5358,-0.18,0.23,-2.85,-1.66,-0.35,10.45,50.76,,1.82,53.58,9.6025,0.00%
719,720,008143,工银瑞信黄金ETF联接C,2021-11-12,0.9391,0.9391,-0.01,2.82,3.63,3.50,-0.37,-5.65,,,-4.25,-6.09,-5.9960,0.00%
720,721,009033,建信上海金ETF联接A,2021-11-12,0.9412,0.9412,0.15,3.04,3.89,3.87,-0.37,-3.97,,,-3.31,-5.88,-4.2523,0.15%
721,722,165312,建信央视财经50指数(LOF),2021-11-12,1.2173,2.4238,-0.21,0.87,1.30,1.75,-0.38,-0.04,32.45,68.08,-4.08,195.13,0.9454,0.12%
722,723,000216,华安黄金易ETF联接A,2021-11-15,1.3780,1.3780,-0.40,1.67,2.52,3.37,-0.38,-4.45,13.73,37.61,-2.95,37.80,-4.1101,0.06%
723,724,000307,易方达黄金ETF联接A,2021-11-15,1.3159,1.3159,-0.40,1.64,2.49,3.33,-0.39,-4.42,14.10,36.32,-2.87,31.59,-4.0732,0.07%
724,725,008776,华安沪深300ETF联接A,2021-11-15,1.1032,1.1032,-0.08,0.90,-0.71,-0.24,-0.39,7.33,,,-0.27,10.32,6.4295,0.05%
725,726,005639,平安300ETF联接A,2021-11-12,1.3845,1.3845,-0.19,0.87,0.17,-1.18,-0.40,3.01,32.70,61.99,-2.77,38.45,3.1055,0.10%
726,727,008702,华夏黄金ETF联接C,2021-11-12,0.9170,0.9170,-0.01,2.89,3.66,3.57,-0.45,-4.19,,,-3.06,-8.30,-4.5587,0.00%
727,728,000218,国泰黄金ETF联接A,2021-11-15,1.4067,1.4067,-0.38,1.65,2.50,3.37,-0.46,-4.50,13.37,36.72,-3.01,40.67,-4.1800,0.07%
728,729,009472,广发深证100指数(LOF)C,2021-11-15,1.7479,1.7479,-0.42,-0.06,0.35,-0.99,-0.46,5.11,,,-1.86,40.33,5.0198,0.00%
729,730,002611,博时黄金ETF联接C,2021-11-15,1.2960,1.2960,-0.38,1.60,2.43,3.26,-0.48,-4.45,13.46,36.32,-2.99,29.60,-4.1126,0.00%
730,731,008249,工银深证100ETF联接A,2021-11-12,1.0810,1.0810,-0.45,0.86,3.17,-1.03,-0.48,4.36,,,-2.20,8.10,4.4041,0.10%
731,732,008777,华安沪深300ETF联接C,2021-11-15,1.1003,1.1003,-0.09,0.89,-0.74,-0.30,-0.50,7.11,,,-0.45,10.03,6.2108,0.00%
732,733,001242,博时中证淘金大数据100A,2021-11-15,1.1015,1.1015,-0.65,2.28,0.29,-6.34,-0.52,-2.62,25.56,42.06,-4,10.15,-2.4890,0.12%
733,734,008164,南方大盘红利50ETF联接C,2021-11-12,1.1803,1.1803,-0.43,1.10,-5.67,1.90,-0.52,8.46,,,9.02,18.03,8.5433,0.00%
734,735,000217,华安黄金易ETF联接C,2021-11-15,1.3623,1.3623,-0.40,1.66,2.49,3.27,-0.55,-4.79,12.95,36.82,-3.25,36.23,-4.4365,0.00%
735,736,007847,华富中债-0-5年中高等级信用债指数C,2021-11-15,1.0211,1.0211,-0.01,-0.02,-0.03,-0.61,-0.56,1.27,,,0.75,2.11,1.2894,0.00%
736,737,009034,建信上海金ETF联接C,2021-11-12,0.9364,0.9364,0.15,3.04,3.85,3.77,-0.57,-4.36,,,-3.64,-6.36,-4.6242,0.00%
737,738,002963,易方达黄金ETF联接C,2021-11-15,1.2964,1.2964,-0.41,1.63,2.46,3.23,-0.58,-4.76,13.31,35.21,-3.17,26.55,-4.3992,0.00%
738,739,003876,华宝沪深300指数增强A,2021-11-15,2.0811,2.0811,-0.29,0.81,-1.10,-2.03,-0.58,5.95,49.56,93.79,-2.08,108.11,5.4461,0.12%
739,740,005640,平安300ETF联接C,2021-11-12,1.3645,1.3645,-0.20,0.86,0.13,-1.29,-0.60,2.60,31.63,60,-3.11,36.45,2.6944,0.00%
740,741,009477,中银上海金ETF联接A,2021-11-15,0.9540,0.9540,-0.36,1.51,2.25,3.16,-0.60,-4.23,,,-3.80,-4.60,-3.8272,0.06%
741,742,519032,海富通上证非周期ETF联接,2021-11-15,1.6230,1.6230,0.06,0.19,-1.52,-1.04,-0.61,4.98,36.50,62.95,-4.64,62.30,4.1747,0.12%
742,743,003957,安信量化精选沪深300增强A,2021-11-15,1.8330,1.8330,-0.64,0.19,-1.85,-0.89,-0.63,6.37,56.43,96.40,-2.53,83.30,6.0596,0.08%
743,744,004253,国泰黄金ETF联接C,2021-11-15,1.3964,1.3964,-0.39,1.64,2.47,3.28,-0.63,-4.84,12.58,35.45,-3.31,30.20,-4.5028,0.00%
744,745,008250,工银深证100ETF联接C,2021-11-12,1.0775,1.0775,-0.45,0.85,3.14,-1.10,-0.64,4.09,,,-2.42,7.75,4.1264,0.00%
745,746,519686,交银上证180公司治理联接,2021-11-15,1.6440,,0.06,0.86,-0.84,0.80,-0.72,5.86,27.34,41.72,0.80,64.40,4.5165,0.15%
746,747,003958,安信量化精选沪深300增强C,2021-11-15,1.8089,1.8089,-0.64,0.18,-1.87,-0.94,-0.73,6.14,55.79,95.22,-2.71,80.89,5.8427,0.00%
747,748,006255,中邮中证价值回报量化策略A,2021-11-12,1.2701,1.2701,-0.27,0.57,-1.50,-3.62,-0.73,-2.07,23.94,,0.46,27.01,-2.7489,0.10%
748,749,009504,富国上海金ETF联接A,2021-11-15,0.8949,0.8949,-0.37,1.53,2.30,3.19,-0.74,-4.79,,,-3.77,-10.51,-4.4061,0.06%
749,750,165521,信诚中证800金融(LOF)A,2021-11-12,1.1086,1.8606,-0.41,2.24,-0.88,2.18,-0.75,-0.36,8.44,29.86,-3.60,106.23,0.1682,0.12%
750,751,008986,广发上海金ETF联接A,2021-11-15,0.8945,0.8945,-0.37,1.54,2.30,3.20,-0.75,-4.86,,,-3.84,-10.55,-4.4690,0.06%
751,752,007404,华宝沪深300指数增强C,2021-11-15,2.0614,2.0614,-0.30,0.81,-1.14,-2.13,-0.78,5.53,48.38,,-2.41,75.27,5.0292,0.00%
752,753,009478,中银上海金ETF联接C,2021-11-15,0.9502,0.9502,-0.37,1.50,2.22,3.07,-0.79,-4.56,,,-4.10,-4.98,-4.1508,0.00%
753,754,110030,易方达沪深300量化增强,2021-11-15,3.2631,3.2631,-0.11,0.45,-1.55,-1.23,-0.81,2.40,35.06,63,-4.02,226.31,1.6239,0.15%
754,755,501043,汇添富沪深300指数A,2021-11-15,1.5258,1.5258,-0.11,0.66,-0.86,-0.75,-0.81,6.08,42.91,75.10,-1.15,52.58,5.2142,0.08%
755,756,009198,前海开源黄金ETF联接,2021-11-15,0.9556,0.9556,-0.36,1.49,2.33,3.03,-0.89,-4.49,,,-2.98,-4.44,-4.1475,0.06%
756,757,660008,农银沪深300指数A,2021-11-12,1.7525,1.7525,-0.19,0.91,0.18,-1.28,-0.91,1.48,29.47,59.77,-4.04,75.25,1.5942,0.12%
757,758,009505,富国上海金ETF联接C,2021-11-15,0.8908,0.8908,-0.36,1.53,2.27,3.11,-0.91,-5.12,,,-4.06,-10.92,-4.7416,0.00%
758,759,006256,中邮中证价值回报量化策略C,2021-11-12,1.2551,1.2551,-0.26,0.57,-1.52,-3.71,-0.92,-2.46,22.98,,0.11,25.51,-3.1260,0.00%
759,760,501045,汇添富沪深300指数C,2021-11-15,1.5150,1.5150,-0.11,0.66,-0.88,-0.82,-0.93,5.81,42.20,74,-1.37,51.50,4.9547,0.00%
760,761,240016,华宝上证180价值联接,2021-11-15,2.22,2.25,-0.09,0.82,-2.16,1.60,-0.94,4.96,21.38,35.78,3.40,128.23,3.8803,0.15%
761,762,008987,广发上海金ETF联接C,2021-11-15,0.8904,0.8904,-0.38,1.53,2.26,3.09,-0.95,-5.21,,,-4.13,-10.96,-4.8035,0.00%
762,763,007178,浙商中华预期高股息A,2021-11-15,1.0950,1.0950,-1.61,-1.93,-7.17,-3.03,-0.98,15.12,12.46,,14.61,9.50,16.7174,0.12%
763,764,161607,融通巨潮100指数A(LOF),2021-11-12,1.3750,3.35,-0.29,1.18,1.93,0.29,-1.01,4.05,41.44,82.29,-4.04,544.91,4.8225,0.15%
764,765,399001,中海上证50指数增强,2021-11-15,1.5360,1.7080,0,0.72,-1.79,1.25,-1.03,3.16,28.54,55.05,-4.24,75.05,1.9920,0.12%
765,766,000613,国寿安保沪深300ETF联接,2021-11-12,1.3001,2.0201,-0.18,0.90,0.15,-1.21,-1.05,2.45,28.94,56.29,-3.28,129.93,2.5315,0.10%
