,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
165,166,862012,光大阳光香港精选混合(QDII)人民币C,2021-11-11,0.8015,0.8015,0.33,1.39,-4.02,-9.89,-12.43,,,,,-19.85,,0.00%
166,167,118001,易方达亚洲精选股票,2021-11-12,1.2070,1.2070,0.50,2.72,1.94,-0.90,-14.46,-17.39,23.92,39.86,-20.49,20.70,-19.3721,0.16%
167,168,002230,华夏大中华混合(QDII),2021-11-12,1.6650,1.6650,0.54,2.65,1.34,-9.31,-14.70,-9.26,34.49,49.46,-19.17,66.50,-11.6711,0.15%
168,169,011583,大成港股精选混合(QDII)A,2021-11-11,0.8505,0.8505,0.65,0.69,-1.56,-9.12,-14.91,,,,,-14.95,,0.15%
169,170,011584,大成港股精选混合(QDII)C,2021-11-11,0.8479,0.8479,0.65,0.68,-1.60,-9.25,-15.17,,,,,-15.21,,0.00%
170,171,241001,华宝海外中国成长混合,2021-11-12,1.79,1.79,0.34,4.37,-2.03,-9.41,-16.36,-10.05,6.67,20.13,-11.91,79,-9.4130,0.15%
171,172,000103,国泰中国企业境外高收益债,2021-11-11,1.1119,1.1119,0.34,-4.46,-8.11,-17.07,-16.82,-19.16,-24.49,-17.45,-19.34,11.19,,0.08%
172,173,470888,汇添富香港混合(QDII),2021-11-12,1.01,1.16,0,1.51,-3.44,-10.62,-17.42,-20.47,3.38,7.56,-23.89,14.86,-23.2523,0.12%
173,174,160125,南方香港优选股票,2021-11-12,1.3752,1.4652,0.05,5.83,1.78,-6.39,-17.91,-2.33,26.97,45.49,-0.68,49.54,-0.9650,0.13%
174,175,006327,易方达中证海外50ETF联接人民币A,2021-11-12,1.1678,1.1678,0.91,5.56,2.65,-1.46,-19.73,-27.04,12.29,,-26.18,16.78,-28.7970,0.12%
175,176,006328,易方达中证海外50ETF联接人民币C,2021-11-12,1.1495,1.1495,0.90,5.55,2.62,-1.54,-19.88,-27.32,11.42,,-26.42,14.95,-29.0651,0.00%
176,177,001691,南方香港成长(QDII),2021-11-12,1.9310,1.9310,0.73,4.55,-0.21,-6.94,-20.80,-2.18,76.83,124.01,-15.34,93.10,-4.4059,0.16%
177,178,164906,交银中证海外中国互联网指数,2021-11-12,1.36,1.36,0.97,7.94,3.50,1.57,-23.68,-29.75,4.13,26.51,-31.49,36,-31.8296,0.12%
178,179,000290,鹏华全球高收益债(QDII),2021-11-11,0.6250,0.9595,1.58,0.22,-23.40,-44.67,-48.37,-47.13,-46.86,-39.97,-48.64,-16.76,,0.08%
179,180,206006,鹏华全球中短债(QDII)人民币A,2021-11-11,0.5301,0.5357,2.79,-0.38,-23.24,-44.02,-48.65,-48.17,-44.77,-40.80,-49.64,-46.43,,0.08%
180,181,012868,易方达标普信息科技人民币C,2021-11-12,2.9325,2.9325,1,0.26,9.86,6.73,,,,,,8.02,8.015028,0.00%
181,182,012348,天弘恒生科技指数(QDII)A,2021-11-12,0.8668,0.8668,1.38,4.38,4.79,-3.69,,,,,,-13.32,-13.32,0.10%
182,183,012208,华夏港股前沿经济混合(QDII)A,2021-11-11,0.9035,0.9035,1.14,0.17,2.02,-4.19,,,,,,-9.65,,0.15%
183,184,012349,天弘恒生科技指数(QDII)C,2021-11-12,0.8662,0.8662,1.38,4.39,4.77,-3.73,,,,,,-13.38,-13.38,0.00%
184,185,012584,南方中国新兴经济9个月持有期混合(QDII)A,2021-11-12,0.9858,0.9858,0.42,2.82,-0.48,-1.36,,,,,,-1.42,-1.42,0.15%
185,186,012060,富国全球消费精选混合(QDII)人民币A,2021-11-12,1.0012,1.0012,-0.05,0.13,2.19,0.43,,,,,,0.12,0.12,0.15%
186,187,012062,富国全球消费精选混合(QDII)人民币C,2021-11-12,0.9995,0.9995,-0.05,0.12,2.15,0.27,,,,,,-0.05,-0.05,0.00%
187,188,012860,易方达标普500指数人民币C,2021-11-12,1.8604,1.8604,0.59,-0.18,6.70,3.78,,,,,,8.69,8.69362,0.00%
188,189,012804,广发恒生科技指数(QDII)A,2021-11-15,1.0531,1.0531,0.25,6.20,3.64,5.31,,,,,,5.31,5.05,0.12%
189,190,012864,易方达标普医疗保健人民币C,2021-11-12,1.7496,1.7496,0.39,0.59,4.21,-1.24,,,,,,1.17,1.168035,0.00%
190,191,012866,易方达标普生物科技人民币C,2021-11-12,1.6699,1.6699,-0.02,-3.33,0.64,-1.46,,,,,,-1.18,-1.183502,0.00%
191,192,012585,南方中国新兴经济9个月持有期混合(QDII)C,2021-11-12,0.9827,0.9827,0.41,2.78,-0.63,-1.66,,,,,,-1.73,-1.73,0.00%
192,193,013402,华夏恒生科技ETF发起式联接(QDII)A,2021-11-12,1.0431,1.0431,1.32,4.22,3.63,,,,,,,4.31,4.31,0.12%
193,194,013128,汇添富恒生科技指数发起(QDII)C,2021-11-15,1.0199,1.0199,0.24,5.54,,,,,,,,1.99,1.75,0.00%
