,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
26,27,004784,招商稳健优选股票,2021-11-15,3.6455,3.6455,-3.03,-3.15,7.90,13.22,59.21,85.81,221.05,402,67.26,264.55,92.8740,0.15%
27,28,001404,招商移动互联网产业股票基金,2021-11-15,1.7530,1.7530,-3.79,4.53,13.39,2.51,58.93,42.87,104.07,178.25,42.99,75.30,50.2061,0.15%
28,29,163114,申万菱信中证环保产业指数(LOF)A,2021-11-12,1.8975,3.1777,0.67,2.58,11.97,11.43,58.52,84.03,183.51,204.36,58.63,176.85,83.5461,0.12%
29,30,010419,申万菱信中证环保产业指数(LOF)C,2021-11-12,1.8447,1.8447,0.67,2.57,11.96,11.35,58.29,83.52,,,58.22,84.47,83.0423,0.00%
30,31,164304,新华中证环保产业指数,2021-11-12,1.7739,1.7739,0.68,2.57,12.19,12.10,57.96,79.72,163.63,167.39,56.43,103.62,79.2094,0.10%
31,32,164905,交银国证新能源指数(LOF)A,2021-11-15,1.6524,,-3.34,-4.01,3.26,6.94,56.36,66.24,188.37,185.73,45.91,73.55,71.2927,0.12%
32,33,161028,富国中证新能源汽车指数(LOF)A,2021-11-15,1.5770,1.6580,-3.49,-4.83,3.21,2.80,56.14,76.63,264.98,297.98,48.63,140.44,83.6895,0.12%
33,34,005037,银华新能源新材料A,2021-11-15,2.3687,2.3687,-3.53,-4.65,0.72,3.31,56.02,82.47,224.26,246.71,52.12,136.85,88.0601,0.15%
34,35,160643,鹏华空天军工指数(LOF)A,2021-11-12,1.8447,1.8447,3.76,8.23,23.66,10.65,55.79,52.61,132.83,152.98,17.05,84.47,48.1092,0.12%
35,36,010364,鹏华空天军工指数(LOF)C,2021-11-12,1.4794,1.4794,3.76,8.23,23.64,10.63,55.73,52.47,,,16.96,47.94,47.9844,0.00%
36,37,005038,银华新能源新材料C,2021-11-15,2.3265,2.3265,-3.54,-4.66,0.69,3.20,55.70,81.74,221.65,242.28,51.60,132.63,87.3321,0.00%
37,38,009067,国泰中证新能源汽车ETF联接A,2021-11-15,2.9520,2.9520,-3.36,-4.67,3.21,2.91,55.10,76.03,,,49.23,195.20,82.7958,0.10%
38,39,009068,国泰中证新能源汽车ETF联接C,2021-11-15,2.9381,2.9381,-3.37,-4.68,3.18,2.82,54.86,75.49,,,48.82,193.81,82.2514,0.00%
39,40,011512,天弘中证新能源车A,2021-11-15,1.5732,1.5732,-3.54,-4.81,3.36,3.21,53.59,,,,,57.32,63.09,0.10%
40,41,011513,天弘中证新能源车C,2021-11-15,1.5713,1.5713,-3.54,-4.82,3.35,3.16,53.43,,,,,57.13,62.9,0.00%
41,42,001790,国泰智能汽车股票A,2021-11-15,3.2190,3.2190,-2.78,-3.65,4.45,4.55,52.70,63.32,264.55,329.20,40.08,221.90,69.1875,0.15%
42,43,011323,国泰智能汽车股票C,2021-11-15,3.2080,3.2080,-2.79,-3.66,4.39,4.43,52.40,,,,,26.35,29.97243,0.00%
43,44,008085,海富通先进制造股票A,2021-11-15,1.4551,1.4551,-3.23,-2.69,-2.12,-3.93,51.65,50.79,,,21.57,45.51,55.0903,0.15%
44,45,008084,海富通先进制造股票C,2021-11-15,1.4441,1.4441,-3.22,-2.70,-2.15,-4.03,51.34,50.18,,,21.15,44.41,54.4720,0.00%
45,46,001576,国泰智能装备股票A,2021-11-15,3.3450,3.3450,-2.51,-1.27,9.31,10.91,51.15,48.01,194.97,261.62,34.61,234.50,51.8142,0.15%
46,47,011322,国泰智能装备股票C,2021-11-15,3.3330,3.3330,-2.52,-1.27,9.28,10.77,50.81,,,,,24,27.19494,0.00%
47,48,000729,建信中小盘先锋股票A,2021-11-12,4.0880,4.0880,1.89,1.74,16.83,20.16,50.79,77.51,210.64,251.81,61.84,308.80,74.2540,0.15%
48,49,001064,广发中证环保ETF联接A,2021-11-15,1.3311,1.3311,-2.87,-2.57,2.42,8.64,49.75,68.58,150.96,151.96,46.69,33.11,73.7543,0.12%
49,50,005628,汇安趋势动力股票A,2021-11-12,1.8993,1.8993,0.27,5.14,16.88,10,49.74,52.41,79.74,95.22,36.74,89.93,50.4992,0.15%
50,51,004812,中欧先进制造股票A,2021-11-15,3.7282,3.7282,-3.52,-4.62,0.95,4.21,49.67,68.18,260.28,353.77,38.10,272.82,75.0487,0.15%
51,52,000696,汇添富环保行业股票,2021-11-15,3.1120,3.1120,-3.23,-4.48,3.42,3.87,49.62,57.57,192.21,221.49,39.05,211.20,63.0832,0.15%
52,53,002984,广发中证环保ETF联接C,2021-11-15,1.3145,1.3145,-2.87,-2.58,2.40,8.58,49.60,68.25,149.95,150.48,46.43,74.94,73.4016,0.00%
53,54,005629,汇安趋势动力股票C,2021-11-12,1.8607,1.8607,0.26,5.13,16.83,9.87,49.37,51.66,77.96,92.20,36.16,86.07,49.7666,0.00%
54,55,004813,中欧先进制造股票C,2021-11-15,3.6923,3.6923,-3.52,-4.63,0.89,4,49.07,66.84,256.16,351.38,37.14,269.23,73.6794,0.00%
55,56,001476,中银智能制造股票A,2021-11-15,2.3630,2.3630,-2.11,-1.54,4.88,8.94,48.52,64.21,235.65,340.86,46.77,136.30,68.8112,0.15%
56,57,012181,中银智能制造股票C,2021-11-15,2.3610,2.3610,-2.07,-1.54,4.84,8.85,48.40,,,,,48.40,51.539912,0.00%
57,58,003834,华夏能源革新股票A,2021-11-15,3.9420,3.9420,-2.50,-4.53,-1.08,1.28,48.20,92.39,318.03,367.06,45.84,294.20,97.6051,0.15%
58,59,160630,鹏华国防A,2021-11-12,1.5510,1.4190,3.61,8.08,21.08,6.74,47.71,46.61,122.39,133.61,12.07,46.27,42.1233,0.12%
59,60,012041,鹏华国防C,2021-11-12,1.4090,1.4090,3.60,8.05,21.05,6.74,47.54,,,,,40.90,40.9,0.00%
60,61,160225,国泰国证新能源汽车指数,2021-11-15,2.4194,2.4194,-3.24,-4,3.20,1.07,46.62,61.41,221.81,230.34,38.77,139.51,66.3207,0.12%
61,62,002168,嘉实智能汽车股票,2021-11-12,4.7190,4.7190,0.23,2.70,10.96,4.87,46.10,56,195.86,319.09,31.19,371.90,53.1646,0.15%
62,63,001877,宝盈国家安全沪港深股票A,2021-11-12,1.7997,1.7997,1.87,5.09,12.45,7.57,46.08,67.57,114.25,147.21,59.83,79.97,65.1101,0.15%
63,64,010128,宝盈发展新动能股票A,2021-11-12,1.5172,1.5172,0.19,3.78,16.42,8.03,46.01,49.14,,,38.04,51.72,,0.15%
64,65,010129,宝盈发展新动能股票C,2021-11-12,1.5088,1.5088,0.19,3.78,16.37,7.89,45.65,48.40,,,37.45,50.88,,0.00%
65,66,005009,申万菱信行业轮动股票,2021-11-12,2.2838,2.2838,1.04,4.07,14.28,0.37,45.64,52.99,160.20,233.45,37.33,128.36,54.5092,0.15%
66,67,009491,宝盈创新驱动股票A,2021-11-12,1.4682,1.4682,0.25,4,16.99,9.72,44.47,43.77,,,31.21,46.82,42.5022,0.15%
67,68,001166,建信环保产业股票,2021-11-12,1.8080,1.8080,0.67,0.61,12.09,7.81,44.29,62.59,173.94,205.92,39.61,80.80,62.7363,0.15%
68,69,009492,宝盈创新驱动股票C,2021-11-12,1.4590,1.4590,0.25,4,16.94,9.58,44.10,43.05,,,30.64,45.90,41.8019,0.00%
69,70,008887,华夏国证半导体芯片ETF联接A,2021-11-12,1.5079,1.5079,-0.27,2.56,15.33,-1.13,43.91,39.85,,,37.48,50.79,40.3481,0.12%
70,71,163115,申万菱信中证军工指数(LOF),2021-11-12,1.4005,2.2192,3.46,7.56,19.38,8.60,43.71,40.99,103.32,122.76,13.93,99.19,37.5062,0.10%
71,72,008888,华夏国证半导体芯片ETF联接C,2021-11-12,1.5014,1.5014,-0.27,2.55,15.30,-1.21,43.70,39.43,,,37.13,50.14,39.9254,0.00%
72,73,000592,建信改革红利股票,2021-11-12,6.8030,6.8030,0.80,1.81,13.31,7.51,43.61,58.36,200.88,293.01,37.82,580.30,57.0406,0.15%
73,74,164402,前海开源中航军工指数,2021-11-15,1.32,1.32,-1.35,6.19,16.40,8.55,43.48,48.31,107.73,125.22,15.89,36.26,49.8320,0.12%
74,75,011142,创金合信新材料新能源股票A,2021-11-12,1.4466,1.4466,0.42,1.96,9.80,1.20,43.41,,,,44.56,44.66,44.66,0.15%
75,76,000596,前海开源中证军工指数A,2021-11-15,2.5020,2.5020,-1.53,5.66,15.83,9.35,43.05,41.20,115.32,130.81,16.59,150.20,43.2356,0.12%
76,77,001956,国联安科技动力,2021-11-12,2.7110,2.7110,-0.24,5.14,20.04,5.46,43.01,45.31,132.88,268.24,33.08,171.10,44.8880,0.15%
77,78,011143,创金合信新材料新能源股票C,2021-11-12,1.4391,1.4391,0.42,1.95,9.75,1.05,42.98,,,,43.81,43.91,43.91,0.00%
78,79,004698,博时军工主题股票A,2021-11-15,2.3190,2.3190,-2.64,4.74,13.51,5.51,42.97,45.30,154.56,178.06,14.29,131.90,47.5836,0.15%
79,80,002199,前海开源中证军工指数C,2021-11-15,1.2710,2.2310,-1.55,5.65,15.76,9.29,42.81,40.75,113.97,129.01,16.29,25.65,42.8098,0.12%
80,81,005962,宝盈人工智能股票A,2021-11-12,3.5958,3.5958,0.24,3.54,16.54,8.30,42.56,37.79,138.94,258.50,27.72,259.58,37.3649,0.15%
81,82,011592,博时军工主题股票C,2021-11-15,2.31,2.31,-2.65,4.71,13.40,5.29,42.50,,,,,25.95,29.389313,0.00%
82,83,003984,嘉实新能源新材料股票A,2021-11-12,3.7839,3.7839,0.40,2.62,10.07,4.66,42.31,57.62,228.29,347.38,34.19,278.39,55.0906,0.15%
83,84,005963,宝盈人工智能股票C,2021-11-12,3.5032,3.5032,0.24,3.52,16.47,8.09,41.99,36.68,135.11,250,26.83,250.32,36.2689,0.00%
84,85,003985,嘉实新能源新材料股票C,2021-11-12,3.7211,3.7211,0.40,2.61,10.02,4.53,41.96,56.84,225.02,342.99,33.61,272.11,54.3320,0.00%
85,86,000756,建信潜力新蓝筹股票,2021-11-12,3.6440,3.6440,2.19,1.90,17.02,17.40,41.68,65.41,170.93,205.96,50.77,264.40,62.8239,0.15%
86,87,011229,创金合信数字经济主题股票A,2021-11-12,1.5316,1.5316,2.93,7.06,15.21,10.54,41.54,,,,,53.16,53.16,0.15%
87,88,011230,创金合信数字经济主题股票C,2021-11-12,1.5254,1.5254,2.92,7.05,15.16,10.41,41.19,,,,,52.54,52.54,0.00%
88,89,005825,申万菱信智能驱动股票,2021-11-12,4.0254,4.0254,1.47,3.98,12.35,8.53,41.16,66.09,187.82,320.85,45.44,302.54,66.9459,0.15%
89,90,540008,汇丰晋信低碳先锋股票A,2021-11-15,4.4454,4.5454,-2.01,-2.76,0.96,2.55,40.31,83.18,328.35,346.50,41.12,384.77,84.8772,0.15%
90,91,006265,红土创新新科技股票,2021-11-15,4.1421,4.1921,-2.49,-2.50,0.23,-9.08,40.29,56,211.72,305.90,29.04,320.51,60.4993,0.15%
91,92,010003,景顺长城电子信息产业股票A,2021-11-12,1.4019,1.4019,-0.08,4.74,17.25,-0.97,39.15,36.94,,,26.72,40.19,34.7463,0.15%
92,93,005802,汇添富智能制造股票,2021-11-15,2.2016,2.2016,-1.78,0.39,5.88,2.10,38.96,35.81,96.64,134.16,29.57,120.16,38.0683,0.15%
93,94,010004,景顺长城电子信息产业股票C,2021-11-12,1.3953,1.3953,-0.08,4.73,17.21,-1.07,38.86,36.39,,,26.28,39.53,34.2022,0.00%
94,95,501019,国泰国证航天军工指数,2021-11-15,1.5689,1.5689,-1.43,4.61,12.10,7.64,38.63,40.54,104.90,136.35,17.62,56.89,41.8627,0.12%
95,96,001975,景顺长城环保优势股票,2021-11-12,4.2440,4.2440,0.64,4.40,16.63,-0.66,38.56,41.56,134.73,222,26.42,324.40,39.3760,0.15%
96,97,502003,易方达中证军工(LOF)A,2021-11-15,1.6558,1.0558,-1.39,5.58,14.85,7.71,37.93,37.19,120.88,137.44,13.52,9.51,38.9147,0.10%
97,98,007590,华宝绿色领先股票,2021-11-15,1.8180,1.8180,-2.17,-1.69,0.97,2.28,37.68,30.38,82.79,,29.94,81.80,33.8230,0.15%
98,99,007300,国联安中证半导体ETF联接A,2021-11-12,2.6053,2.6053,-0.72,2.80,13.36,-3.74,37.56,24.35,116.49,,27.14,160.50,24.9844,0.08%
99,100,007301,国联安中证半导体ETF联接C,2021-11-12,2.5836,2.5836,-0.72,2.79,13.34,-3.80,37.38,24.03,115.41,,26.86,158.33,24.6731,0.00%
100,101,001616,嘉实环保低碳股票,2021-11-12,4.1860,4.1860,0.41,2.32,7.47,1.16,36.75,42.09,205.99,297.53,22.83,318.60,40.5170,0.15%
101,102,161024,富国中证军工指数(LOF)A,2021-11-15,1.3980,1.8740,-1.41,5.51,14.78,7.29,36.52,34.40,91.94,98.72,11.75,112.28,36.1957,0.12%
102,103,004640,华夏节能环保股票,2021-11-12,2.6447,2.6447,2.67,3.92,15.18,1.49,36.04,51.86,213.35,281.96,25.32,164.47,50.9360,0.15%
103,104,011667,东财高端制造A,2021-11-15,1.2871,1.2871,-2.08,-0.45,4.15,4.37,35.78,,,,,28.71,31.45,0.15%
104,105,008445,融通产业趋势先锋股票,2021-11-12,1.5641,1.5641,1.01,3.46,12.15,3.98,35.73,35.06,,,27.01,56.41,36.9495,0.15%
