,基金代码,基金简称,2021-12-06-单位净值,2021-12-06-累计净值,2021-12-03-单位净值,2021-12-03-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
104,009277,融通行业景气混合C,2.5790,2.5840,2.56,2.5650,0.0190,0.74,开放申购,开放赎回,0.00%
105,002989,融通通乾研究精选混合,1.7017,4.9794,1.6892,4.9674,0.0125,0.74,开放申购,开放赎回,0.15%
106,002182,东兴蓝海财富混合,0.8150,0.8150,0.8090,0.8090,0.0060,0.74,限大额,开放赎回,0.15%
107,000218,国泰黄金ETF联接A,1.3588,1.3588,1.3489,1.3489,0.0099,0.73,开放申购,开放赎回,0.07%
108,004253,国泰黄金ETF联接C,1.3486,1.3486,1.3388,1.3388,0.0098,0.73,开放申购,开放赎回,0.00%
109,000216,华安黄金易ETF联接A,1.3318,1.3318,1.3222,1.3222,0.0096,0.73,开放申购,开放赎回,0.06%
110,002979,广发中证全指金融地产联接C,1.0769,1.0769,1.0691,1.0691,0.0078,0.73,开放申购,开放赎回,0.00%
111,000520,上银新兴价值成长混合,1.3920,2.64,1.3820,2.63,0.01,0.72,开放申购,开放赎回,0.15%
112,000217,华安黄金易ETF联接C,1.3164,1.3164,1.3070,1.3070,0.0094,0.72,开放申购,开放赎回,0.00%
113,002610,博时黄金ETF联接A,1.2775,1.2775,1.2684,1.2684,0.0091,0.72,开放申购,开放赎回,0.06%
114,001469,广发中证全指金融地产联接A,1.0891,1.0891,1.0813,1.0813,0.0078,0.72,开放申购,开放赎回,0.12%
115,002963,易方达黄金ETF联接C,1.2525,1.2525,1.2437,1.2437,0.0088,0.71,开放申购,开放赎回,0.00%
116,002611,博时黄金ETF联接C,1.2517,1.2517,1.2429,1.2429,0.0088,0.71,开放申购,开放赎回,0.00%
117,009198,前海开源黄金ETF联接,0.9254,0.9254,0.9189,0.9189,0.0065,0.71,开放申购,开放赎回,0.06%
118,008142,工银瑞信黄金ETF联接A,0.9104,0.9104,0.9040,0.9040,0.0064,0.71,开放申购,开放赎回,0.06%
119,008143,工银瑞信黄金ETF联接C,0.9055,0.9055,0.8991,0.8991,0.0064,0.71,开放申购,开放赎回,0.00%
120,540006,汇丰晋信大盘股票A,5.1286,5.1886,5.0929,5.1529,0.0357,0.70,开放申购,开放赎回,0.15%
121,000307,易方达黄金ETF联接A,1.2715,1.2715,1.2626,1.2626,0.0089,0.70,开放申购,开放赎回,0.07%
122,011203,永赢惠添益混合A,0.9465,0.9465,0.9399,0.9399,0.0066,0.70,开放申购,开放赎回,0.15%
123,011204,永赢惠添益混合C,0.9438,0.9438,0.9372,0.9372,0.0066,0.70,开放申购,开放赎回,0.00%
124,009477,中银上海金ETF联接A,0.9223,0.9223,0.9159,0.9159,0.0064,0.70,开放申购,开放赎回,0.06%
125,009478,中银上海金ETF联接C,0.9185,0.9185,0.9121,0.9121,0.0064,0.70,开放申购,开放赎回,0.00%
126,009504,富国上海金ETF联接A,0.8649,0.8649,0.8589,0.8589,0.0060,0.70,开放申购,开放赎回,0.06%
127,008382,融通产业趋势股票,1.1354,1.1904,1.1276,1.1826,0.0078,0.69,开放申购,开放赎回,0.15%
128,009033,建信上海金ETF联接A,0.9055,0.9055,0.8993,0.8993,0.0062,0.69,开放申购,开放赎回,0.15%
129,008986,广发上海金ETF联接A,0.8643,0.8643,0.8584,0.8584,0.0059,0.69,开放申购,开放赎回,0.06%
130,009505,富国上海金ETF联接C,0.8607,0.8607,0.8548,0.8548,0.0059,0.69,开放申购,开放赎回,0.00%
131,008987,广发上海金ETF联接C,0.8602,0.8602,0.8543,0.8543,0.0059,0.69,开放申购,开放赎回,0.00%
132,009034,建信上海金ETF联接C,0.9006,0.9006,0.8945,0.8945,0.0061,0.68,开放申购,开放赎回,0.00%
133,008701,华夏黄金ETF联接A,0.8886,0.8886,0.8826,0.8826,0.0060,0.68,开放申购,开放赎回,0.06%
134,008702,华夏黄金ETF联接C,0.8843,0.8843,0.8783,0.8783,0.0060,0.68,开放申购,开放赎回,0.00%
135,010446,国泰金福三个月定开混合,0.8548,0.8548,0.8491,0.8491,0.0057,0.67,开放申购,开放赎回,1.50%
136,483003,工银精选平衡混合,0.7625,2.5920,0.7574,2.5829,0.0051,0.67,开放申购,开放赎回,0.15%
137,004856,广发中证全指建筑材料指数A,1.4268,1.4268,1.4175,1.4175,0.0093,0.66,开放申购,开放赎回,0.10%
138,000772,景顺长城中国回报灵活配置混合,1.8650,1.8650,1.8530,1.8530,0.0120,0.65,开放申购,开放赎回,0.15%
139,004857,广发中证全指建筑材料指数C,1.4310,1.4310,1.4217,1.4217,0.0093,0.65,开放申购,开放赎回,0.00%
140,168205,中融中证银行指数(LOF),1.0840,1.0840,1.0770,1.0770,0.0070,0.65,开放申购,开放赎回,0.10%
141,012368,大摩优享六个月持有期混合A,1.0644,1.0644,1.0575,1.0575,0.0069,0.65,开放申购,暂停赎回,0.15%
142,012369,大摩优享六个月持有期混合C,1.0628,1.0628,1.0560,1.0560,0.0068,0.64,开放申购,暂停赎回,0.00%
143,013019,国泰中证全指建料ETF联接A,0.9171,0.9171,0.9113,0.9113,0.0058,0.64,开放申购,开放赎回,0.10%
144,519068,汇添富成长焦点混合,3.0735,4.4745,3.0542,4.4552,0.0193,0.63,开放申购,开放赎回,0.15%
145,519671,银河沪深300价值指数A,1.6010,1.8260,1.5910,1.8160,0.01,0.63,开放申购,开放赎回,0.12%
146,009899,上银内需增长股票,0.9640,0.9640,0.9580,0.9580,0.0060,0.63,开放申购,开放赎回,0.15%
147,013020,国泰中证全指建材ETF联接C,0.9162,0.9162,0.9105,0.9105,0.0057,0.63,开放申购,开放赎回,0.00%
